subject,stimulus_index,stimulus_label,root_area_id,node,n_neurons,n_frames,n_windows,FCV_raw,FCS_raw,FCV_z,FCS_z
18,10,OMR forward,20,OB,33,192,35,0.5063517521658614,0.0348011960144899,3.5907588506030703,-2.8851989564126694
18,10,OMR forward,21,OE,2,192,35,0.4541592616312657,0.13592735560464167,3.080429243607012,-2.4583494402114505
18,10,OMR forward,22,P,785,192,35,0.10603776152283079,0.8161158174543173,-0.32344565328943903,0.4126991296430733
18,10,OMR forward,24,PT,313,192,35,0.09271623718285156,0.831702289649712,-0.45370133205425556,0.47848901173542097
18,10,OMR forward,25,PO,463,192,35,0.08837350441452142,0.8271787194206223,-0.49616386036533133,0.459395200879607
18,10,OMR forward,26,PrT,303,192,35,0.09172491169163198,0.835217140386736,-0.46339435001828483,0.4933250575488752
18,10,OMR forward,28,SP,564,192,35,0.08939770477179776,0.8339865699687589,-0.4861493973561826,0.48813086853098003
18,10,OMR forward,29,TeO,6511,192,35,0.10641468683432036,0.8099700149249068,-0.31976013945192944,0.3867579404692826
18,10,OMR forward,30,Th,792,192,35,0.0944056168614221,0.8315910883736759,-0.43718285480587515,0.4780196355515595
18,10,OMR forward,31,TL,93,192,35,0.12496073823902293,0.768367044431,-0.13841989245955857,0.21115344901198885
18,10,OMR forward,32,TS,232,192,35,0.4467001577036022,0.4340523242978032,3.0074953495361005,-1.1999757496656815
18,10,OMR forward,33,TG,18,192,35,0.1882527158511437,-0.0318990152291333,0.48043867761360326,-3.1667379075134328
18,10,OMR forward,34,VR,71,192,35,0.11402007957126131,0.7967917186724516,-0.24539585741175604,0.33113287369610833
18,10,OMR forward,35,NX,729,192,35,0.09152468461817968,0.8268278771940816,-0.46535213748269316,0.4579143097306818
18,10,OMR forward,36,rMON,881,192,35,0.29070412695368947,0.22415522242062433,1.4821917617952722,-2.0859431071864654
18,10,OMR forward,37,rCb,1991,192,35,0.09071490195522725,0.8290048734727941,-0.4732700594654124,0.46710332483919953
