epsilon,run,layer,fc_state_mean,fc_state_std,fc_state_width_p95_p05,fcv_from_fc_state
0.0,40,Layer 1,0.5730943402638484,0.370791916303283,1.0427429287155934,0.3696932711734351
0.0,40,Layer 4,0.5563996635507359,0.41236753498674705,1.0787570620901237,0.411145702567806
0.0,41,Layer 1,0.9428437946168998,0.0772225828357169,0.2176238808938159,0.07699377467993891
0.0,41,Layer 4,0.9601068941806414,0.056590745660541536,0.16784085429156226,0.056423069008541465
0.0,42,Layer 1,0.7333208107263183,0.3095580183889819,0.8912705277685091,0.3086408074295329
0.0,42,Layer 4,0.741786773640427,0.3142099730300419,0.873191671548538,0.313278978470989
0.0,43,Layer 1,0.22719178751671285,0.31198361164196253,0.9411083889222628,0.31105921372374445
0.0,43,Layer 4,0.3376861994598208,0.3440341856119645,0.9988696119811191,0.34301482282139434
0.0,44,Layer 1,0.8159464836851473,0.2371750026329503,0.6984151703879766,0.23647226033974655
0.0,44,Layer 4,0.8948107474933596,0.1348686913732708,0.38700977380443047,0.1344690795575023
0.0,45,Layer 1,0.6524793750989573,0.3850080937546807,1.1148259553564053,0.38386732652498284
0.0,45,Layer 4,0.8214388638686615,0.19279935467725318,0.546457125866032,0.1922280960744071
0.0,46,Layer 1,0.6509821497374396,0.29533512600694883,0.8660282545151713,0.2944600570434842
0.0,46,Layer 4,0.6327815036185461,0.3480045629152376,0.9820745748484796,0.3469734360179106
0.0,47,Layer 1,0.7611446449401785,0.22637202047504904,0.6166134795238194,0.22570128708822587
0.0,47,Layer 4,0.8735874087437515,0.13041884099684745,0.3798996263889187,0.1300324139519158
0.0,48,Layer 1,0.35311238978063375,0.2962069117286468,0.8827972101233521,0.29532925969069945
0.0,48,Layer 4,0.7340399676699925,0.13566619760258178,0.4135774470790528,0.13526422280019915
0.0,49,Layer 1,0.6592664163648484,0.24982183454465573,0.7591496180490034,0.24908162007453308
0.0,49,Layer 4,0.7717221850417744,0.22638867665657156,0.6788969268078391,0.22571789391799088
0.5,0,Layer 1,0.06538049738646702,0.5249257773979412,1.4064716860358604,0.5233704383424956
0.5,0,Layer 4,0.5126883730587681,0.29087598968342276,0.8479450153579856,0.29001413300477275
0.5,1,Layer 1,-0.36603004625494595,0.2054490454675908,0.7069188767531962,0.20484030621705573
0.5,1,Layer 4,0.08100588960847031,0.19197890180528532,0.583916339641941,0.19141007417925515
0.5,2,Layer 1,0.8560909271817762,0.14084584152246332,0.40166631817156273,0.1404285195932511
0.5,2,Layer 4,0.9036021531286852,0.11049846700585417,0.3519876829198051,0.11017106342100265
0.5,3,Layer 1,0.27433593175981935,0.25897480087560143,0.8022667799880354,0.258207466445628
0.5,3,Layer 4,-0.02952098220490849,0.39838489944515293,1.2393894483674641,0.3972044971485114
0.5,4,Layer 1,0.04640068989392665,0.28804517972326027,0.8226311672655402,0.2871917106481137
0.5,4,Layer 4,-0.09270569210893363,0.33751760806238357,1.0015534670562047,0.3365175536921787
0.5,5,Layer 1,0.9021903553450318,0.1007536483233868,0.30267462927544864,0.10045511833883779
0.5,5,Layer 4,0.9477670208007866,0.056817838901971944,0.16162664501657997,0.056649489379629374
0.5,6,Layer 1,0.6455765666171263,0.38455179762275643,1.079385711559432,0.3834123823845693
0.5,6,Layer 4,0.8524146145004176,0.15790339536623502,0.4424138611431896,0.15743553242565328
0.5,7,Layer 1,0.7587697761684569,0.24107468219738862,0.6883011713745855,0.2403603852726703
0.5,7,Layer 4,0.7950944505521726,0.23519237513471097,0.6495953291912834,0.23449550730626617
0.5,8,Layer 1,0.7246443594261723,0.3187801836847224,0.9654552388379682,0.31783564773100215
0.5,8,Layer 4,0.8979834535156639,0.1118530763069851,0.32284614099845443,0.11152165905612278
0.5,9,Layer 1,0.7814831850780053,0.23698816009592483,0.673569803384561,0.236285971411455
0.5,9,Layer 4,0.8924852993287037,0.12154394982436142,0.33357351093815346,0.12118381881107415
0.5,10,Layer 1,0.1915494601517905,0.2019373462620662,0.6394221343969118,0.20133901206908503
0.5,10,Layer 4,-0.18338317054548192,0.31208070474550753,0.9590370740796657,0.31115601914338725
0.5,11,Layer 1,-0.19778445151995963,0.28227985396684324,0.8877150757637715,0.28144346737593057
0.5,11,Layer 4,0.12503661940199592,0.20147751976112896,0.5860575654766651,0.2008805480200342
0.5,12,Layer 1,0.6092112245430108,0.36680221810880814,1.0221352837467699,0.36571539433292766
0.5,12,Layer 4,0.8162050080333558,0.17827625411560952,0.5007015869818571,0.17774802701642034
0.5,13,Layer 1,0.6938218324367106,0.20819173135338778,0.6034259038481811,0.2075748656082917
0.5,13,Layer 4,0.7490481765495172,0.18995977902912312,0.5611295404682755,0.1893969340022465
0.5,14,Layer 1,-0.2973806640517405,0.3363603864562075,0.995802100723477,0.3353637608982985
0.5,14,Layer 4,0.21121720192958296,0.28235639697890186,0.8686768091472292,0.28151978359338087
