realization,null_type,max_relative_margin_error,metric,n_regions,pearson_r,pearson_p,spearman_rho,spearman_p
38,strength_preserving,7.625341217073199e-16,OO_fraction,41,0.3519148660631092,0.024046321168492656,0.22704304230366176,0.15342251223861791
38,root_pair_preserving,1.003488085810513e-15,DCApost,41,0.17723006202995265,0.2676308424859846,0.09303135888501746,0.5629087906388235
38,root_pair_preserving,1.003488085810513e-15,OO_fraction,41,0.5343016750773947,0.00032039123653520294,0.37925929526244073,0.014465934516259864
39,strength_preserving,6.319391346121079e-16,DCApost,41,-0.11711118334446749,0.46587800297922655,-0.1865853658536586,0.24277679595193177
39,strength_preserving,6.319391346121079e-16,OO_fraction,41,0.297261457387575,0.059099365583066006,0.19232788477728618,0.22831879666506613
39,root_pair_preserving,7.122206971192801e-16,DCApost,41,0.1668640498147233,0.2970678364487602,0.09181184668989549,0.5680604973135441
39,root_pair_preserving,7.122206971192801e-16,OO_fraction,41,0.4734764928360339,0.0017679084399131798,0.3254922509771605,0.037834836440797506
40,strength_preserving,8.910717924637404e-16,DCApost,41,-0.06192284372705907,0.7005284327809803,-0.08414634146341465,0.6009282154875436
40,strength_preserving,8.910717924637404e-16,OO_fraction,41,0.2543869758422597,0.10848773057225163,0.14716657729105126,0.35851560544880146
40,root_pair_preserving,6.602595988879993e-16,DCApost,41,0.12547411323668306,0.4344045538241714,0.0378048780487805,0.8144671640110046
40,root_pair_preserving,6.602595988879993e-16,OO_fraction,41,0.5177782638617761,0.0005260290766211194,0.3923279607877551,0.011178587579346153
41,strength_preserving,5.818904042053283e-16,DCApost,41,-0.1363753173056302,0.39521079544764026,-0.20000000000000004,0.20993874257441786
41,strength_preserving,5.818904042053283e-16,OO_fraction,41,0.3607530268675756,0.020495739760608044,0.25823898218962904,0.10306247552477311
41,root_pair_preserving,6.946021588719261e-16,DCApost,41,0.18139136339677273,0.2563757388318598,0.09337979094076657,0.5614408640313842
41,root_pair_preserving,6.946021588719261e-16,OO_fraction,41,0.5255121307785813,0.0004184010499712836,0.43382754063997103,0.004600665560884031
42,strength_preserving,7.966340607041127e-16,DCApost,41,-0.07997435295046872,0.6191561192960362,-0.11602787456445995,0.47004205640641517
42,strength_preserving,7.966340607041127e-16,OO_fraction,41,0.23056656555389085,0.14697120746891393,0.11834423781396933,0.46116241747443854
42,root_pair_preserving,8.337104242120526e-16,DCApost,41,0.1137706710544936,0.4787814582702007,-0.01271777003484321,0.9370976773433037
42,root_pair_preserving,8.337104242120526e-16,OO_fraction,41,0.5334212330418897,0.0003291808584144155,0.3874510171729805,0.012321802512708261
43,strength_preserving,9.599521886909989e-16,DCApost,41,-0.24285013124141447,0.12603741896120682,-0.22909407665505227,0.14964253450011433
43,strength_preserving,9.599521886909989e-16,OO_fraction,41,0.24390321434410137,0.1243525058804612,0.1963398879196413,0.21857451240959277
43,root_pair_preserving,7.640244470538712e-16,DCApost,41,0.14490769732807676,0.36602107822004876,0.05261324041811848,0.7438970010744057
43,root_pair_preserving,7.640244470538712e-16,OO_fraction,41,0.537074014487288,0.00029407522543888374,0.41167759899351336,0.007489955839168694
44,strength_preserving,7.404848254106466e-16,DCApost,41,-0.22247586441045758,0.16208941667176738,-0.25783972125435545,0.1036149790297242
44,strength_preserving,7.404848254106466e-16,OO_fraction,41,0.2849618635160135,0.07093925435809072,0.17491841541528905,0.27402204779080597
44,root_pair_preserving,1.010549668636587e-15,DCApost,41,0.1348032089245116,0.4007326770897256,0.03763066202090593,0.8153072788059138
44,root_pair_preserving,1.010549668636587e-15,OO_fraction,41,0.5800887512362776,7.03200866994234e-05,0.4346841371252423,0.004511840928693164
45,strength_preserving,6.303367679292579e-16,DCApost,41,0.0600668618021829,0.709105001740322,-0.08205574912891987,0.6100332003465745
45,strength_preserving,6.303367679292579e-16,OO_fraction,41,0.26602495846499014,0.09273213124165175,0.19511777249844353,0.22151184143765054
45,root_pair_preserving,7.105427357601002e-16,DCApost,41,0.15263886200577614,0.34072243360550825,0.06027874564459932,0.7081240607262523
45,root_pair_preserving,7.105427357601002e-16,OO_fraction,41,0.5624566685858101,0.00012946383176718393,0.4453737652556865,0.003522640976643656
46,strength_preserving,7.453347279433954e-16,DCApost,41,0.1195394485044227,0.4566161351721849,-0.010627177700348435,0.947421972944924
