recording_id,surrogate,mean_abs_NetTE,extreme_pair_fraction
subject_13,55,0.006197171285748482,0.060833902939166094
subject_13,56,0.006061688996851444,0.056846662109820006
subject_13,57,0.00605925265699625,0.05787195260879471
subject_13,58,0.006073744501918554,0.05422647527910686
subject_13,59,0.00617222860455513,0.05673274094326726
subject_13,60,0.006001987960189581,0.057302346776030987
subject_13,61,0.006003012880682945,0.05456823877876509
subject_13,62,0.006043324247002602,0.05570745044429255
subject_13,63,0.00611657602712512,0.06174527227158806
subject_13,64,0.006081745494157076,0.06322624743677376
subject_13,65,0.006037562154233456,0.054796081111870586
subject_13,66,0.006082457955926657,0.060378218272955114
subject_13,67,0.006069954484701157,0.054796081111870586
subject_13,68,0.006068389862775803,0.05798587377534746
subject_13,69,0.006031631026417017,0.06003645477329688
subject_13,70,0.006032660603523254,0.05923900660742766
subject_13,71,0.00607933709397912,0.061631351105035315
subject_13,72,0.006054277066141367,0.05718842560947824
subject_13,73,0.0061012436635792255,0.05787195260879471
subject_13,74,0.005986690055578947,0.05627705627705628
subject_13,75,0.006085909903049469,0.061973114604693555
subject_13,76,0.006112207658588886,0.058669400774663934
subject_13,77,0.005981153342872858,0.059125085440874914
subject_13,78,0.006113852374255657,0.05878332194121668
subject_13,79,0.006122704595327377,0.06390977443609022
subject_13,80,0.006088574416935444,0.06106174527227159
subject_13,81,0.006081303581595421,0.05969469127363864
subject_13,82,0.00595365185290575,0.05342902711323764
subject_13,83,0.006076629739254713,0.05923900660742766
subject_13,84,0.00602324865758419,0.058669400774663934
subject_13,85,0.006086959037929773,0.059922533606744134
subject_13,86,0.006014346610754728,0.05502392344497608
subject_13,87,0.0060687498189508915,0.060378218272955114
subject_13,88,0.006109891925007105,0.05696058327637275
subject_13,89,0.005935329012572765,0.05764411027568922
subject_13,90,0.006073358003050089,0.05764411027568922
subject_13,91,0.006080693565309048,0.060833902939166094
subject_13,92,0.006063160952180624,0.060833902939166094
subject_13,93,0.006109995301812887,0.06151742993848257
subject_13,94,0.006009964272379875,0.05798587377534746
subject_13,95,0.006113090552389622,0.05775803144224197
subject_13,96,0.006131322123110294,0.06174527227158806
subject_13,97,0.006093333940953016,0.05832763727500569
subject_13,98,0.006120300851762295,0.06277056277056277
subject_13,99,0.006049753166735172,0.058213716108452954
subject_13,100,0.00607918668538332,0.05923900660742766
subject_13,101,0.005991852842271328,0.05673274094326726
subject_13,102,0.006139953620731831,0.061631351105035315
subject_13,103,0.006028005387634039,0.05878332194121668
subject_13,104,0.006070719566196203,0.05935292777398041
subject_13,105,0.006086391396820545,0.05764411027568922
subject_13,106,0.006071367301046848,0.058669400774663934
subject_13,107,0.006054189056158066,0.056846662109820006
subject_13,108,0.006217722315341234,0.06094782410571884
subject_13,109,0.006076148711144924,0.05593529277739804
subject_13,110,0.005982117261737585,0.054340396445659606
subject_13,111,0.0061261700466275215,0.05969469127363864
subject_13,112,0.006015298888087273,0.053998632946001365
subject_13,113,0.006014310289174318,0.056846662109820006
subject_13,114,0.006115455646067858,0.059922533606744134
subject_13,115,0.006140267476439476,0.05787195260879471
subject_13,116,0.006128003820776939,0.056049213943950786
subject_13,117,0.006073628552258015,0.055251765778081566
subject_13,118,0.0061288815923035145,0.060719981772613354
subject_13,119,0.00616537407040596,0.05889724310776942
subject_13,120,0.006013125646859407,0.05661881977671451
subject_13,121,0.006089727394282818,0.06277056277056277
subject_13,122,0.006030003074556589,0.060378218272955114
subject_13,123,0.006038801744580269,0.056504898610161766
subject_13,124,0.005983539391309023,0.05627705627705628
subject_13,125,0.005981266498565674,0.06094782410571884
subject_13,126,0.006021918263286352,0.058669400774663934
subject_13,127,0.006079035811126232,0.056049213943950786
subject_13,128,0.006116345524787903,0.062428799270904535
subject_13,129,0.00605035200715065,0.05969469127363864
subject_13,130,0.0061605884693562984,0.05764411027568922
subject_13,131,0.006105305626988411,0.05923900660742766
subject_13,132,0.006110724061727524,0.06060606060606061
subject_13,133,0.006108134053647518,0.06277056277056277
subject_13,134,0.006204523146152496,0.059580770107085894
subject_13,135,0.006053265184164047,0.056504898610161766
subject_13,136,0.0059944624081254005,0.05593529277739804
subject_13,137,0.006150091998279095,0.060833902939166094
subject_13,138,0.006122509948909283,0.05661881977671451
subject_13,139,0.0061695994809269905,0.06185919343814081
subject_13,140,0.006087576504796743,0.05901116427432217
subject_13,141,0.006050979718565941,0.058669400774663934
subject_13,142,0.0059807454235851765,0.05809979494190021
subject_13,143,0.006082095671445131,0.05787195260879471
subject_13,144,0.006031088065356016,0.05787195260879471
subject_13,145,0.006090582814067602,0.06003645477329688
subject_13,146,0.00616559898480773,0.059922533606744134
subject_13,147,0.006075533572584391,0.05753018910913648
subject_13,148,0.006067823152989149,0.05832763727500569
subject_13,149,0.006086011882871389,0.05798587377534746
subject_13,150,0.006015955936163664,0.06003645477329688
subject_13,151,0.0061183194629848,0.059466848940533154
subject_13,152,0.0060105775482952595,0.05661881977671451
subject_13,153,0.0060617392882704735,0.05935292777398041
subject_13,154,0.00601943489164114,0.05787195260879471
subject_13,155,0.006139034405350685,0.06288448393711552
subject_13,156,0.006030005402863026,0.05661881977671451
subject_13,157,0.0060640680603682995,0.055251765778081566
subject_13,158,0.006171950604766607,0.06106174527227159
subject_13,159,0.005951833911240101,0.05775803144224197
subject_13,160,0.006099415943026543,0.05980861244019139
subject_13,161,0.00604902533814311,0.058669400774663934
subject_13,162,0.006018687970936298,0.05889724310776942
subject_13,163,0.00609436072409153,0.06003645477329688
subject_13,164,0.0062275477685034275,0.059125085440874914
subject_13,165,0.006150536704808474,0.059125085440874914
subject_13,166,0.005941999610513449,0.05513784461152882
subject_13,167,0.0059867436066269875,0.05844155844155844
