recording_id,root_area_id,node,NetTE,n_functional_units,legacy_order,anatomy_group
subject_17,65,rTeO,0.00012863767171339765,19,38,Mes
subject_17,66,rTh,0.002092527082285962,2,39,Di
subject_17,68,rTS,-0.004218775513176813,1,37,Mes
subject_17,71,rNX,0.0015960722355248002,1,29,Hind
subject_18,0,MON,0.003137234322869076,1,4,Hind
subject_18,1,Cb,-0.0010278386427112977,4,2,Hind
subject_18,2,MOS1,-0.000556886339908305,2,5,Hind
subject_18,3,MOS2,-0.0012079759199971481,1,6,Hind
subject_18,4,MOS3,0.0023414087697615706,2,7,Hind
subject_18,5,MOS4,-0.0026590499522065702,1,8,Hind
subject_18,6,MOS5,0.0006329154221172574,2,9,Hind
subject_18,10,Ra,0.00025906085990900135,1,15,Hind
subject_18,11,T,-0.002930144825830805,2,17,Mes
subject_18,16,Hb,0.002014132254700456,1,3,Di
subject_18,20,OB,0.0007963884075150035,1,1,Tel
subject_18,22,P,0.0020008466875902162,1,11,Tel
subject_18,24,PT,-0.0017587512034207091,1,13,Di
subject_18,25,PO,-0.002674325875248419,1,12,Tel
subject_18,26,PrT,0.0007460641721109268,1,14,Di
subject_18,28,SP,0.00211960387563403,1,16,Tel
subject_18,29,TeO,-0.0010019391627171211,16,19,Mes
subject_18,30,Th,0.0010166973647456232,1,20,Di
subject_18,32,TS,-0.00046117456802008,1,18,Mes
subject_18,35,NX,0.0005911415400615388,1,10,Hind
subject_18,36,rMON,0.0018627471305495925,1,23,Hind
subject_18,37,rCb,0.0009476656773198717,4,21,Hind
subject_18,38,rMOS1,0.00016267610938453395,3,24,Hind
subject_18,39,rMOS2,0.0005751911754241155,1,25,Hind
subject_18,40,rMOS3,0.001766993151416553,2,26,Hind
subject_18,41,rMOS4,-0.0012551748409423806,2,27,Hind
subject_18,42,rMOS5,-0.0012876020602379124,2,28,Hind
subject_18,46,rRa,0.0010632213404709358,1,34,Hind
subject_18,47,rT,0.003084543196749918,2,36,Mes
subject_18,48,raRF,-0.004597368747593686,1,40,Hind
subject_18,49,rimRF,-0.003736606201448511,1,41,Hind
subject_18,50,rpRF,-0.002955229665375761,1,42,Hind
subject_18,52,rHb,-0.0007005987388303545,1,22,Di
subject_18,58,rP,0.0033122896819600543,1,30,Tel
subject_18,60,rPT,0.001923791607123624,1,32,Di
subject_18,61,rPO,0.007227201716627111,1,31,Tel
subject_18,62,rPrT,0.0043619740178091684,1,33,Di
subject_18,64,rSP,-0.00013354716510805608,1,35,Tel
subject_18,65,rTeO,0.0008652863848861294,14,38,Mes
subject_18,66,rTh,0.004206373546292766,2,39,Di
subject_18,68,rTS,-0.0013106643688987592,1,37,Mes
subject_18,71,rNX,-0.00381584693323604,1,29,Hind
