epsilon,run,layer,energy_well_width,delta_u,n_dynamic_fc_windows
0.1,11,Layer 2,0.22554861306576646,2.0,169
0.1,12,Layer 2,0.20819871975301518,2.0,169
0.1,13,Layer 2,0.10409935987650776,2.0,169
0.1,14,Layer 2,0.20819871975301518,2.0,169
0.1,15,Layer 2,0.20819871975301518,2.0,169
0.1,16,Layer 2,0.20819871975301518,2.0,169
0.1,17,Layer 2,0.1387991465020102,2.0,169
0.1,18,Layer 2,0.12144925318925892,2.0,169
0.1,19,Layer 2,0.1908488264402639,2.0,169
0.1,20,Layer 2,0.15614903981476147,2.0,169
0.1,21,Layer 2,0.659295945884548,2.0,169
0.1,22,Layer 2,0.20819871975301518,2.0,169
0.1,23,Layer 2,0.1387991465020103,2.0,169
0.1,24,Layer 2,0.1387991465020102,2.0,169
0.1,25,Layer 2,0.589896372633543,2.0,169
0.1,26,Layer 2,0.6939957325100505,2.0,169
0.1,27,Layer 2,0.1387991465020102,2.0,169
0.1,28,Layer 2,0.10409935987650765,2.0,169
0.1,29,Layer 2,0.15614903981476136,2.0,169
0.1,30,Layer 2,0.15614903981476136,2.0,169
0.1,31,Layer 2,0.5031469060697866,2.0,169
0.1,32,Layer 2,0.5725464793207917,2.0,169
0.1,33,Layer 2,0.10409935987650765,2.0,169
0.1,34,Layer 2,0.260248399691269,2.0,169
0.1,35,Layer 2,0.6766458391972994,2.0,169
0.1,36,Layer 2,0.17349893312751263,2.0,169
0.1,37,Layer 2,0.260248399691269,2.0,169
0.1,38,Layer 2,0.1387991465020103,2.0,169
0.1,39,Layer 2,0.34699786625502527,2.0,169
0.1,40,Layer 2,0.7633953057610556,2.0,169
0.1,41,Layer 2,0.6766458391972994,2.0,169
0.1,42,Layer 2,0.20819871975301518,2.0,169
0.1,43,Layer 2,0.329647972942274,2.0,169
0.1,44,Layer 2,0.20819871975301518,2.0,169
0.1,45,Layer 2,0.659295945884548,2.0,169
0.1,46,Layer 2,0.12144925318925903,2.0,169
0.1,47,Layer 2,0.2775982930040203,2.0,169
0.1,48,Layer 2,0.260248399691269,2.0,169
