Subject,RegionID,node,exclusion_band_sd,OO,retained_edge_fraction
12,53,rHi,0.025,,0.9417765087498656
12,54,rHR,0.025,,0.9417765087498656
12,55,rOG,0.025,,0.9417765087498656
12,56,rOB,0.025,,0.9417765087498656
12,57,rOE,0.025,,0.9417765087498656
12,58,rP,0.025,0.6045991657550878,0.9417765087498656
12,59,rPi,0.025,,0.9417765087498656
12,60,rPT,0.025,0.0,0.9417765087498656
12,61,rPO,0.025,0.5295500374488679,0.9417765087498656
12,62,rPrT,0.025,0.0,0.9417765087498656
12,63,rR,0.025,,0.9417765087498656
12,64,rSP,0.025,,0.9417765087498656
12,65,rTeO,0.025,0.1639317784862317,0.9417765087498656
12,66,rTh,0.025,0.45664966208356267,0.9417765087498656
12,67,rTL,0.025,,0.9417765087498656
12,68,rTS,0.025,,0.9417765087498656
12,69,rTG,0.025,,0.9417765087498656
12,70,rVR,0.025,,0.9417765087498656
12,71,rNX,0.025,0.0,0.9417765087498656
12,0,MON,0.05,0.4807479949771891,0.8367690488027606
12,1,Cb,0.05,0.3317606938987323,0.8367690488027606
12,2,MOS1,0.05,0.0,0.8367690488027606
12,3,MOS2,0.05,0.0,0.8367690488027606
12,4,MOS3,0.05,0.3060073752812116,0.8367690488027606
12,5,MOS4,0.05,0.31740555846837126,0.8367690488027606
12,6,MOS5,0.05,0.3468386962663404,0.8367690488027606
12,7,IPN,0.05,,0.8367690488027606
12,8,IO,0.05,,0.8367690488027606
12,9,Hc,0.05,,0.8367690488027606
12,10,Ra,0.05,0.0,0.8367690488027606
12,11,T,0.05,0.30829073603517204,0.8367690488027606
12,12,aRF,0.05,0.0,0.8367690488027606
12,13,imRF,0.05,0.0,0.8367690488027606
12,14,pRF,0.05,0.0,0.8367690488027606
12,15,GG,0.05,,0.8367690488027606
12,16,Hb,0.05,,0.8367690488027606
12,17,Hi,0.05,,0.8367690488027606
12,18,HR,0.05,,0.8367690488027606
12,19,OG,0.05,,0.8367690488027606
12,20,OB,0.05,,0.8367690488027606
12,21,OE,0.05,,0.8367690488027606
12,22,P,0.05,0.6200547846782523,0.8367690488027606
12,23,Pi,0.05,,0.8367690488027606
12,24,PT,0.05,0.5274829036596183,0.8367690488027606
12,25,PO,0.05,0.5262558600873565,0.8367690488027606
12,26,PrT,0.05,0.0,0.8367690488027606
12,27,R,0.05,,0.8367690488027606
12,28,SP,0.05,0.5252488584038671,0.8367690488027606
12,29,TeO,0.05,0.21402693438859732,0.8367690488027606
12,30,Th,0.05,0.0,0.8367690488027606
12,31,TL,0.05,,0.8367690488027606
12,32,TS,0.05,,0.8367690488027606
12,33,TG,0.05,,0.8367690488027606
12,34,VR,0.05,,0.8367690488027606
12,35,NX,0.05,0.0,0.8367690488027606
12,36,rMON,0.05,0.4478156804094494,0.8367690488027606
12,37,rCb,0.05,0.3713764813126709,0.8367690488027606
12,38,rMOS1,0.05,0.2215490100894535,0.8367690488027606
12,39,rMOS2,0.05,0.0,0.8367690488027606
12,40,rMOS3,0.05,0.23449044826842125,0.8367690488027606
12,41,rMOS4,0.05,0.28192985446075786,0.8367690488027606
12,42,rMOS5,0.05,0.29065494803205427,0.8367690488027606
12,43,rIPN,0.05,,0.8367690488027606
12,44,rIO,0.05,,0.8367690488027606
12,45,rHc,0.05,,0.8367690488027606
12,46,rRa,0.05,0.0,0.8367690488027606
12,47,rT,0.05,0.07342585776612744,0.8367690488027606
12,48,raRF,0.05,0.0,0.8367690488027606
12,49,rimRF,0.05,0.0,0.8367690488027606
12,50,rpRF,0.05,0.0,0.8367690488027606
12,51,rGG,0.05,,0.8367690488027606
12,52,rHb,0.05,0.36158297554601454,0.8367690488027606
12,53,rHi,0.05,,0.8367690488027606
12,54,rHR,0.05,,0.8367690488027606
12,55,rOG,0.05,,0.8367690488027606
12,56,rOB,0.05,,0.8367690488027606
12,57,rOE,0.05,,0.8367690488027606
12,58,rP,0.05,0.6048141891891892,0.8367690488027606
12,59,rPi,0.05,,0.8367690488027606
12,60,rPT,0.05,0.0,0.8367690488027606
12,61,rPO,0.05,0.5269203332245155,0.8367690488027606
12,62,rPrT,0.05,,0.8367690488027606
12,63,rR,0.05,,0.8367690488027606
12,64,rSP,0.05,,0.8367690488027606
12,65,rTeO,0.05,0.17068113746456445,0.8367690488027606
12,66,rTh,0.05,0.4526523428016509,0.8367690488027606
12,67,rTL,0.05,,0.8367690488027606
12,68,rTS,0.05,,0.8367690488027606
12,69,rTG,0.05,,0.8367690488027606
12,70,rVR,0.05,,0.8367690488027606
12,71,rNX,0.05,0.0,0.8367690488027606
12,0,MON,0.1,0.4715814568842431,0.7829051258531472
12,1,Cb,0.1,0.3271489942953665,0.7829051258531472
12,2,MOS1,0.1,0.0,0.7829051258531472
12,3,MOS2,0.1,0.0,0.7829051258531472
12,4,MOS3,0.1,0.29938417632163633,0.7829051258531472
12,5,MOS4,0.1,0.30981223437970845,0.7829051258531472
12,6,MOS5,0.1,0.33595230107756907,0.7829051258531472
12,7,IPN,0.1,,0.7829051258531472
12,8,IO,0.1,,0.7829051258531472
12,9,Hc,0.1,,0.7829051258531472
12,10,Ra,0.1,0.0,0.7829051258531472
12,11,T,0.1,0.29905412506568574,0.7829051258531472
12,12,aRF,0.1,0.0,0.7829051258531472
12,13,imRF,0.1,0.0,0.7829051258531472
12,14,pRF,0.1,0.0,0.7829051258531472
