root_area_id,node,anatomy_group,n_subjects,Hard_OO_fraction,FU_DCApost,FU_DCApre,LogOutIn,OutputParticipation,Reciprocity,CycleParticipation,complete_primary_measures
42,rMOS5,Hind,7,0.37978330629896356,-0.007545545106980571,0.009924339479746844,0.4098495200899603,0.5658226185770133,0.47779427756522785,0.999562300126121,True
43,rIPN,Hind,7,0.0,-0.009622340501455983,0.03247062233402993,-2.865104808652972,0.5262952098990428,0.46478075422658766,1.0,True
44,rIO,Hind,7,0.0,-0.0240672615649152,0.1098461541023543,-0.7681612209960466,0.0,0.0,0.0,True
45,rHc,Di,4,0.5,0.00343680135943475,0.0110704249337696,4.3012768072941405,0.3187390195114187,0.019701086956521726,0.5,True
46,rRa,Hind,7,0.0,-0.002254633672483828,0.06090816769671157,-0.9630732193536587,0.545057891572096,0.7805148947343508,0.9999852560435478,True
47,rT,Mes,7,0.2042590038152233,-0.04507966335765561,0.0330473093681609,-0.026414975226878086,0.6287919274156494,0.6372179905719714,0.9999838431092946,True
48,raRF,Hind,7,0.05444139369094471,-0.015005200264917458,0.04700206730610557,-1.1998444498560021,0.630619697712918,0.7891088102045762,0.9999956331162628,True
49,rimRF,Hind,7,0.0,-0.03397087150039359,0.054941079948883496,-0.4437619722276361,0.5893720300794746,0.7584307544008319,0.9990453998904537,True
50,rpRF,Hind,7,0.027001978706900742,-0.014428452100161415,0.05181695648057832,-0.9845292636021906,0.60918420939872,0.8102146881848354,0.998777647178468,True
52,rHb,Di,7,0.2944984476624962,0.007863640777313257,0.010112244569328027,-0.2789136528993386,0.24098053450242735,0.4778353079609306,0.9992096549238555,True
53,rHi,Di,7,0.0,-0.0039046642961706,0.015422149271444415,-1.3773230837236652,0.5529909401069318,0.6336865032190107,0.9999841560314027,True
54,rHR,Di,6,0.25254639319101435,0.007599761289302783,0.03682413876280004,-0.12758459094280808,0.5340988969414072,0.40104751036865594,0.8333333333333334,True
55,rOG,Tel,5,,,0.021573481898742,-1.5421306647002404,,,,False
56,rOB,Tel,7,1.0,0.0020634308254165,0.00605446306792745,-1.301965248595214,0.0739644970414201,0.0,0.0,True
57,rOE,Tel,5,1.0,0.0024044124648713,,2.2886550469226252,0.0,0.0,0.0,False
58,rP,Tel,7,0.6033171511487962,0.004836457164102872,0.012460913031881057,0.31401166269876646,0.40029640254285287,0.3492299125863201,0.9968003163128893,True
60,rPT,Di,7,0.0,-0.0037338940096054997,0.013903861702750773,-0.7189879219760519,0.6254610111517948,0.7020531421416498,0.9999657704222218,True
61,rPO,Tel,7,0.4919038878552155,0.002757515897702257,0.021484583009794885,1.0468628733362961,0.44713904109663893,0.29061956608190326,0.9986777536007592,True
62,rPrT,Di,7,0.27667221228400746,0.008034817462480357,0.024642751184341057,0.013395222119653672,0.6068709566345485,0.6275582117824925,0.999982694433777,True
64,rSP,Tel,7,0.6599316822942596,0.0047021234106571575,0.010548289469741986,1.0022875473567983,0.2527150289608196,0.3017367953517626,0.9966190833959429,True
65,rTeO,Mes,7,0.264698116187173,-0.014589064229616385,0.021643290253989155,-0.08470988540473177,0.5980848985683359,0.6726459459584702,0.9996529723062288,True
66,rTh,Di,7,0.3887630143716881,-0.0009695226924512713,0.021296605806189615,0.09612046467393232,0.5730869485946455,0.5391867283491037,0.9996462251731462,True
67,rTL,Mes,7,0.2944383788556502,-0.0059391979453695285,0.015463927577149372,-0.5945239983663183,0.4675091419942868,0.2930694984898034,1.0,True
68,rTS,Mes,7,0.227981268354117,-0.019254458816361716,0.008273545840287529,-0.6315359483774561,0.3913015689078356,0.2368430761914895,0.968186936936937,True
69,rTG,Hind,6,1.0,0.0001999368112647,,0.49928871225899846,0.4875346260387811,0.0,0.0,False
70,rVR,Hind,7,0.4716883470578906,0.0062209815262019574,-0.014022134786261917,1.3070073070303887,0.44344828827597144,0.19046641690701288,0.849802238105591,True
71,rNX,Hind,7,0.1829769891717816,0.011130763896086656,0.013042038280595658,-0.5635292163254361,0.5952024244154289,0.6636745066181995,0.9990435954835546,True
