node,EdgeStdFCV,FCV_raw,NetTE,NetTE_raw,n_recordings,DCA,PostDCA,PreDCA,OO_fraction,LogOutIn,out_degree,in_degree,out_strength,in_strength,fine_class
SMBVR,0.720570571498196,0.35516718304002715,-0.034628815079683184,-0.0017470567408069478,2,-0.01863427350872179,0.017112917616267653,0.027725457523699662,0.0,-0.5212969236332861,14,17,56.0,95.0,head motor / premotor
SMDDL,0.45488679169950624,0.35407048287231957,0.04117547887391993,0.00029360454245885896,6,-0.11295185192975608,0.03528761233604237,0.062907990200703,0.0,-0.8338145100499166,19,25,95.0,220.0,head motor / premotor
SMDDR,0.2208701311248346,0.34231283964506176,-0.26964258197783103,-0.0011870323200364123,4,-0.15273403400960278,0.008702341888818117,0.062427601235220585,0.0,-1.1997974329154553,18,27,71.0,238.0,head motor / premotor
SMDVL,1.1500038797343277,0.3722960449809918,1.1872756381999126,0.007519615857705133,16,-0.0662653662691692,0.035337588245018495,0.08653273528271072,0.0,-0.03593200922606333,17,28,163.0,169.0,head motor / premotor
SMDVR,0.4941515470284856,0.3524292237781439,0.2305731406528051,0.0013639286330751482,12,-0.07210158980671567,0.027262773642302753,0.06233108821782487,0.0,-0.19873458643528474,16,24,140.0,171.0,head motor / premotor
URADL,-1.7373434764073346,0.3081648637574169,-0.625997057344023,-0.003716392487235289,8,-1.9836023697938215e-05,-0.0064456552242123264,0.008569245915934585,0.0,-0.1643030512912763,4,5,27.0,32.0,head motor / premotor
URADR,-1.6302463076736946,0.3096742322996769,-0.054005365151598456,-0.001119989486834694,4,-0.0001485576679635587,-0.016423068838453125,0.024533326216768233,0.0,0.0,4,5,21.0,21.0,head motor / premotor
URAVL,-1.0389125865501423,0.32511167660173784,-0.35134596615728164,-0.0024697413399323333,7,0.007618045088301124,-0.03161934828946141,-0.019810626227513835,0.4166666666666667,0.5340824859302579,12,8,57.0,33.0,head motor / premotor
URAVR,-0.9768103533255579,0.31920376253898547,-0.6109009949204466,-0.004877267311538736,2,0.002228476866019639,-0.001350945737858909,0.017920098128906322,0.5384615384615384,0.4289956055183586,13,7,42.0,27.0,head motor / premotor
URBL,-0.47085895127417815,0.3269973745589954,-0.3505798738947264,-0.002150358716783808,15,0.003745916632285624,0.015135669030768682,0.022479363057547407,0.5882352941176471,1.3256697393034558,17,4,63.0,16.0,interneuron / integrative
URBR,-0.4622164286858676,0.33121896391075684,-0.3388284901962219,-0.0020876878535901113,9,-0.00022803720165668305,0.021974840531970897,0.0282070519252366,0.0,0.6390799592896695,24,8,71.0,37.0,interneuron / integrative
URXL,-0.09222452653694947,0.3411791877318226,0.5279036322498117,0.0041110640850579435,15,0.01682283439630724,0.038105791542042744,0.020005033979560046,0.782608695652174,0.2371297932889497,23,17,89.0,70.0,thermo/gas sensory
URXR,-0.6372783908840943,0.3260610621199752,0.006786551176820188,0.0005694715350231097,14,0.0273839881288978,0.03045548449451267,0.023895008535681463,0.6153846153846154,0.5520685823000399,26,21,131.0,75.0,thermo/gas sensory
URYDL,0.041189178174503585,0.347243329002361,-0.07939487623687781,-0.0012934964672393933,13,0.047358728184815235,-0.1082198964382442,0.0173016284802289,0.36363636363636365,1.0541605260972757,11,7,65.0,22.0,mechanosensory / other sensory
URYDR,-0.20859141856718966,0.3402789798263299,-0.042052668228001834,-0.0006509299267039135,13,0.03822509427516236,-0.08693936352060241,0.028446631676448193,0.42857142857142855,1.840549633397487,14,5,62.0,9.0,mechanosensory / other sensory
URYVL,0.33408782477339033,0.3534952668510932,-0.5875134163530776,-0.004769266830565724,17,0.07802874892367521,-0.05076860633905527,0.015182320982279146,0.5909090909090909,2.1365999555197845,22,6,143.0,16.0,mechanosensory / other sensory
URYVR,-0.32941748884955263,0.3254731333129508,-0.4400732108104188,-0.0028248008860713423,12,0.09583432238212189,-0.09658661236321343,0.023184624919305532,0.3125,1.8899514954072687,16,9,138.0,20.0,mechanosensory / other sensory
